Funding_Programme,County,Project_Name,Units,Approved_Housing_Body,Capital_Appraisal_Q,Capital_Appraisal_Year,Pre_Planning_Q,Pre_Planning_Year,Pre_Tender_Design_Q,Pre_Tender_Design_Year,Approval_Q,Approval_Year,On_Site_Q,On_Site_Year,Completed_Q,Completed_Year
Ship Construction Rapid,Dublin City,Bonham Street Dublin  8,57,N/A,,0,,0,,0,,0,Q4,2019,,0
Ship Construction Rapid,Dublin City,Cork Street / Chamber Street Dublin 8,55,N/A,,0,,0,,0,,0,Q1,2020,,0
Ship Construction Rapid,Dublin City,Springvale Chapelizod Dublin 8,71,N/A,,0,,0,,0,,0,Q1,2020,,0
Ship Construction Rapid,Dublin City,"Belcamp H, Dublin 17",38,N/A,,0,,0,,0,,0,,0,Q4,2017
Ship Construction Rapid,Dublin City,"Cherry Orchard, Ballyfermot",24,N/A,,0,,0,,0,,0,,0,Q4,2017
Ship Construction Rapid,Dublin City,"Mourne Road, Drimnagh",29,N/A,,0,,0,,0,,0,,0,Q4,2017
Ship Construction Rapid,Dublin City,"St Helena's Drive, Finglas",39,N/A,,0,,0,,0,,0,,0,Q3,2017
Ship Construction Rapid,Dublin City,"Poppintree, Ballymun",22,N/A,,0,,0,,0,,0,,0,Q2,2016
Ship Construction Rapid,Dublin City,"Rapids at Ballyfermot, Rathvilly, Woodbank Drive",53,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Rapid,Dublin City,"Rapids at Ballyfermot, Rathvilly, Woodbank Drive",13,N/A,,0,,0,,0,,0,,0,Q3,2018
Ship Construction Rapid,Dublin City,"Rapids at Ballyfermot, Rathvilly, Woodbank Drive",3,N/A,,0,,0,,0,,0,,0,Q3,2018
Ship Construction Rapid,Dublin City,"Rapids at Ballyfermot, Rathvilly, Woodbank Drive",19,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction,Donegal,"Railway Park, Drumrooske, Donegal Town",24,N/A,,0,Q1,2020,,0,,0,,0,,0
Ship Construction,Donegal,"Trusk Road, Ballybofey",19,N/A,,0,Q1,2020,,0,,0,,0,,0
Ship Construction,Donegal,"Crana Crescent, Buncrana",16,N/A,Q2,2020,,0,,0,,0,,0,,0
Ship Construction,Donegal,"Gallow's Lane, Lifford",29,N/A,,0,Q1,2020,,0,,0,,0,,0
Ship Construction,Dublin City,Hampton Wood,25,N/A,,0,,0,,0,,0,,0,Q4,2016
Ship Construction,Dublin City,"Cornamona, Ballyfermot, Dublin 12",61,N/A,,0,,0,,0,,0,Q2,2019,,0
Ship Construction,Dublin City,"Infirmary Road, Dublin 7",38,N/A,,0,Q2,2019,,0,,0,,0,,0
Ship Construction,Dublin City,"North King Street, - Sean Foster Place, Dublin 7",30,N/A,,0,,0,,0,,0,Q2,2019,,0
Ship Construction,Dublin City,"Ballybough Road, Dublin 1",5,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction,Dublin City,"St. Finbar's Court, Kilkieran Road, Dublin 7",46,N/A,,0,Q2,2020,,0,,0,,0,,0
Ship Construction,Dublin City,Dominick Street (East side),72,N/A,,0,,0,,0,,0,Q1,2018,,0
Ship Construction,Dublin City,O'Devaney Gardens - Phase 1A,56,N/A,,0,,0,,0,,0,Q3,2018,,0
Ship Construction,Dublin City,Priory Hall,9,N/A,,0,,0,,0,,0,,0,Q1,2017
Ship Construction,Dublin City,Priory Hall,24,N/A,,0,,0,,0,,0,,0,Q4,2019
Regeneration,Dublin City,St. Teresa's Gardens - initial project,54,N/A,,0,,0,,0,,0,Q1,2019,,0
Regeneration,Dublin City,"Dolphin House, Dublin 8",100,N/A,,0,,0,,0,,0,,0,Q3,2018
Regeneration,Dublin City,Sackville Avenue Cottages,14,N/A,,0,,0,Q3,2019,,0,,0,,0
Regeneration,Dublin City,Charlemont,79,N/A,,0,,0,,0,,0,,0,Q4,2017
Regeneration,Dublin City,Maxwell Road,9,N/A,,0,,0,,0,,0,,0,Q2,2016
Regeneration,Dublin City,"Buttercup, Darndale",19,N/A,,0,,0,,0,,0,,0,Q4,2017
Regeneration,Dublin City,"Buttercup, Darndale",9,N/A,,0,,0,,0,,0,,0,Q1,2018
Regeneration,Dublin City,"Buttercup, Darndale",7,N/A,,0,,0,,0,,0,,0,Q2,2018
Regeneration,Dublin City,St. Bricins Park,11,N/A,,0,,0,,0,,0,,0,Q4,2018
Regeneration,Dublin City,Dolphin House Phase 1b,35,N/A,Q4,2019,,0,,0,,0,,0,,0
Regeneration,Dublin City,"Dorset Streeet, Dublin 7",115,N/A,Q2,2020,,0,,0,,0,,0,,0
Regeneration,Dublin City,Constitution Hill Dublin 7,130,N/A,Q2,2020,,0,,0,,0,,0,,0
Cas Construction Turnkey,Dublin City,"61 & 63 Rathoath Avenue, Finglas, Dublin 11",6,Arlington Novas Ireland Ltd,,0,,0,,0,Q1,2018,,0,,0
Cas Construction Single Stage,Dublin City,"13A Casement Drive / 307A Casement Road, Finglas, Dublin 11",4,Arlington Novas Ireland Ltd,,0,,0,,0,Q3,2019,,0,,0
Cas Construction,Dublin City,Beech Hill,19,Royal Hospital Donnybrook Voluntary Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2018
Cas Construction,Dublin City,"Ellis Court, Dublin",22,Túath Housing Association Ltd,,0,,0,,0,,0,Q3,2019,,0
Cas Construction,Dublin City,"Martanna House, High Park, Grace Park Road,Dublin 9",8,Respond,,0,,0,,0,,0,,0,Q4,2018
Cas Construction,Dublin City,"1 - 2 Rafter's Lane, Dublin 12",11,Walkinston Housing Association Ltd (WALK),,0,,0,,0,,0,,0,Q4,2019
Cas Construction,Dublin City,180-187 Townsend Street,18,Peter McVerry Trust Ltd,,0,,0,Q4,2018,,0,,0,,0
Cas Construction,Dublin City,"Old Kilmainham Road, Dublin 8",11,Arlington Novas Ireland Ltd,Q1,2017,,0,,0,,0,,0,,0
Cas Construction,Dublin City,"26 New Street South, Dublin 8",8,Peter McVerry Trust Ltd,,0,,0,,0,,0,Q4,2019,,0
Cas Construction,Dublin City,"Broome Lodge, Dunmanus, Dublin 7",10,Cluid Housing Association,,0,,0,,0,,0,,0,Q4,2017
Cas Construction,Dublin City,"St Agatha's Court, North William Street, Dublin 1",11,Peter McVerry Trust Ltd,,0,,0,,0,,0,,0,Q2,2017
Cas Construction,Dublin City,"55B Arbour Hill, Dublin 7",14,Simon Community: Dublin Simon,,0,,0,Q1,2020,,0,,0,,0
Cas Construction,Dublin City,"St. Michael's Estate, Inchicore, Dublin 8 - Housing Pilot Project ",52,Circle Voluntary Housing Association Ltd,,0,Q2,2019,,0,,0,,0,,0
Cas Construction,Dublin City,"Shaw Street, Dublin 2",12,Peter McVerry Trust Ltd,,0,Q4,2019,,0,,0,,0,,0
Cas Construction,Dublin City,"Sarsfield Road, Ballyfermot, Dublin 10",6,Respond,Q1,2020,,0,,0,,0,,0,,0
Calf Construction,Dublin City,"3 units, Block A Jamestown Court, Dublin 8 (Phase 1)",3,ALONE,,0,,0,,0,,0,Q2,2019,,0
Calf Turnkey,Dublin City,"9 units Dorset Street, Dublin 1 (Phase 1)",9,Clanmil Housing Association Ireland,,0,,0,,0,,0,Q2,2019,,0
Calf Turnkey,Dublin City,"An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 1)",14,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2016
Calf Turnkey,Dublin City,"An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 2)",21,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q1,2017
Calf Turnkey,Dublin City,"An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 3)",10,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q2,2017
Calf Turnkey,Dublin City,"An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 4)",3,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q3,2017
Calf Turnkey,Dublin City,"An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 5)",1,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2018
Calf Construction,Dublin City,"Annamore Court, Ballyfermot (Phase 1)",70,The Iveagh Trust,,0,,0,,0,,0,,0,Q2,2017
Calf Turnkey,Dublin City,"Aughrim Street, Stoneybatter, Dublin 7 (Phase 1)",4,Clanmil Housing Association Ireland,,0,,0,,0,,0,Q3,2019,,0
Calf Turnkey,Dublin City,"Balfe Road, Crumlin, Dublin 12 (Phase 1)*",16,Respond,,0,,0,,0,,0,,0,Q4,2018
Calf Construction,Dublin City,Ballygall Road East Phase 2 (Phase 1),11,Fold Housing Association Ireland Ltd,,0,,0,,0,,0,,0,Q1,2016
Calf Construction,Dublin City,"Bethany House, Gilford Road, Sandymount, Dublin 4 (Phase 1)",62,Cluid Housing,,0,,0,,0,Q2,2018,,0,,0
Calf Turnkey,Dublin City,"Block A Northbank, Castleforbes, Dublin 1  (Phase 1)*",26,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q2,2018
Calf Construction,Dublin City,"Block A, Jamestown Court, Dublin 8 (Phase 1)",9,ALONE,,0,,0,,0,,0,Q2,2019,,0
Calf Turnkey,Dublin City,"Bluebell Avenue, Bluebell, Dublin 12 (Phase 1)*",52,Respond,,0,,0,,0,,0,Q4,2019,,0
Calf Turnkey,Dublin City,"Bluebell Avenue, Dublin 12 (Phase 1)",7,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2018
Calf Turnkey,Dublin City,"Bow Lane West, Dublin 8 (Phase 1)",15,Oaklee Housing,,0,,0,,0,,0,Q4,2017,,0
Calf Construction,Dublin City,"Broome Lodge,\nDunmanus Court, Cabra (Phase 1)",33,Cluid Housing,,0,,0,,0,,0,,0,Q4,2017
Calf Turnkey,Dublin City,"Camac Park, Bluebell, Dublin 12 (Phase 1)",5,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q2,2020
Calf Turnkey,Dublin City,"Canal Meadows, Bluebell, Dublin 12 (Phase 1)",4,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q1,2019
Calf Turnkey,Dublin City,"Chanel College, Coolock Village, Malahide Road, Dublin 5  (Phase 1)*",16,Respond,,0,,0,,0,,0,,0,Q4,2017
Calf Turnkey,Dublin City,"Chanel Manor Apartments, Coolock, Dublin 5. (Phase 1)*",65,Respond,,0,,0,,0,,0,Q2,2019,,0
Calf Turnkey,Dublin City,"Clongriffin, Dublin 13 (Phase 1)*",84,The Iveagh Trust,,0,,0,,0,,0,,0,Q2,2019
Calf Turnkey,Dublin City,"Cromwellsfort Court, Cromwellsfort Road, Walkinstown, Dublin 12 (Phase 1)*",12,Oaklee Housing,,0,,0,,0,,0,Q2,2019,,0
Calf Turnkey,Dublin City,"Crumlin Village, Dublin 12 (Phase 1)",3,Cluid Housing,,0,,0,,0,,0,,0,Q2,2017
Calf Turnkey,Dublin City,"Crumlin Village, Dublin 12 (Phase 2)",2,Cluid Housing,,0,,0,,0,,0,,0,Q3,2017
Calf Construction,Dublin City,"Harolds Cross, Dublin 6 (Phase 1)",28,Focus Housing Association CLG,,0,,0,,0,,0,,0,Q4,2016
Calf Turnkey,Dublin City,"Harolds Cross, Dublin 6W (Phase 1)",12,Respond,,0,,0,,0,Q2,2020,,0,,0
Calf Turnkey,Dublin City,"Lough Conn Road, Ballyfermot, Dublin 10 (Phase 1)",1,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,Dublin City,"Lough Conn Road, Ballyfermot, Dublin 10 (Phase 2)",2,Túath Housing Association Ltd,,0,,0,,0,,0,Q4,2019,,0
Calf Turnkey,Dublin City,"Lough Conn Road, Ballyfermot, Dublin 10 (Phase 3)",2,Túath Housing Association Ltd,,0,,0,,0,,0,Q4,2019,,0
Calf Turnkey,Dublin City,"Merville Court, Merville Avenue, Fairview (Phase 1)",5,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,,0,Q1,2017
Calf Turnkey,Dublin City,"Millrose House, Bluebell Avenue, Dublin 12 (Phase 1)",8,Cluid Housing,,0,,0,,0,,0,,0,Q4,2017
Calf Turnkey,Dublin City,"Mountjoy Square North, Dublin 1 (Phase 1)",31,Respond,,0,,0,,0,,0,,0,Q4,2019
Calf Construction,Dublin City,"North King Street, Dublin 7  (Phase 1)",30,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,Q4,2019,,0
Calf Turnkey,Dublin City,"Old School House Lane, Magenta Crescent, Santry, Dublin 9 (Phase 1)",8,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2019
Calf Construction,Dublin City,"Orchard Lawns, Ballyfermot (Phase 1)",36,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,,0,Q3,2018
Calf Construction,Dublin City,"Orchard Lawns, Ballyfermot (Phase 2)",36,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,,0,Q4,2018
Calf Turnkey,Dublin City,"Park West Campus, Kileen Road, Dublin 12 (Phase 1)",41,Túath Housing Association Ltd,,0,,0,,0,,0,Q1,2019,,0
Calf Turnkey,Dublin City,"Park West Campus, Kileen Road, Dublin 12 (Phase 2)",43,Túath Housing Association Ltd,,0,,0,,0,,0,Q1,2019,,0
Calf Construction,Dublin City,"Post Tender - Wad River Close Phase 2, Ballymun, Dublin 9  (Phase 1)",9,Cluid Housing,,0,,0,,0,,0,,0,Q4,2019
Calf Construction,Dublin City,"POST TENDER Dolphin Park, Rialto, Dublin 8 (Phase 1)",43,Fold Housing Association Ireland Ltd,,0,,0,,0,,0,,0,Q4,2019
Calf Construction,Dublin City,Post Tender Johns Lane West Dublin 8 (Phase 1),31,Focus Housing Association CLG,,0,,0,,0,,0,,0,Q4,2018
Calf Construction,Dublin City,"POST TENDER, Poplar Row, Ballybough, Dublin 3 (Phase 1)",29,Oaklee Housing,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,Dublin City,"Ravensdale Court, Kimmage, Dublin 12. (Phase 1)",12,Túath Housing Association Ltd,,0,,0,,0,Q2,2020,,0,,0
Calf Construction,Dublin City,"Revised - Dominic Place, Dublin (Phase 1)",9,The Paddy McGrath Housing Project,,0,,0,,0,,0,Q2,2019,,0
Calf Construction,Dublin City,"Revised Post Tender - Raleigh Square, Crumlin (Phase 1)",33,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2019
Calf Construction,Dublin City,"Revised, St Mary�s Mansions, Dublin 1 (Phase 1)",80,Cluid Housing,,0,,0,,0,,0,,0,Q4,2019
Calf Construction,Dublin City,"Richmond Road, Dublin 9 (Phase 1)",40,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,,0,Q4,2018
Calf Turnkey,Dublin City,"Royal Canal Crescent, Rathborne Park, Rathborne, Dublin15 (Phase 1)*",16,Cluid Housing,,0,,0,,0,,0,Q1,2019,,0
Calf Turnkey,Dublin City,"St Agnes Convent, Armagh Road, Crumlin, Dublin 12 (Phase 1)",44,Fold Housing Association Ireland Ltd,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,Dublin City,"St Agnes Convent, Armagh Road, Crumlin, Dublin 12 (Phase 1)",6,Fold Housing Association Ireland Ltd,,0,,0,,0,,0,Q1,2018,,0
Calf Turnkey,Dublin City,"St Agnes Convent, Armagh Road, Crumlin, Dublin 12 (Phase 2)",42,Fold Housing Association Ireland Ltd,,0,,0,,0,,0,,0,Q2,2020
Calf Turnkey,Dublin City,"St Agnes Convent, Armagh Road, Crumlin, Dublin 12 (Phase 3)",11,Fold Housing Association Ireland Ltd,,0,,0,,0,,0,Q1,2018,,0
Calf Turnkey,Dublin City,"Stormanstown Hall, Ballymun Road, (revised) (Phase 1)",42,Oaklee Housing,,0,,0,,0,,0,,0,Q3,2018
Calf Turnkey,Dublin City,"Sundrive Mews, Kimmage, Dublin 12 (Phase 1)",9,Cluid Housing,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,Dublin City,"Thornwood, Beaumont (Phase 1)",28,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q2,2016
Calf Turnkey,Dublin City,"Thornwood, Beaumont (Phase 2)",18,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2016
Calf Turnkey,Dublin City,"Thornwood, Beaumont (Phase 3)",14,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q1,2017
Calf Turnkey,Dublin City,"Thornwood, Beaumont (Phase 4)",8,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q1,2017
Calf Turnkey,Dublin City,"Tonlegee Road, Dublin 5  (Phase 1)",47,Fold Housing Association Ireland Ltd,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,Fingal,"Blackmills Grove, Blakestown Road, Mulhuddard",10,N/A,,0,,0,,0,,0,,0,Q2,2017
Ship Construction Turnkey,Fingal,"Balgriffin Grove, Malahide Road, Balgriffin",6,N/A,,0,,0,,0,,0,,0,Q1,2017
Ship Construction Turnkey,Fingal,"Hansfield, Ongar, Dublin 15",36,N/A,,0,,0,,0,,0,,0,Q3,2017
Ship Construction Turnkey,Fingal,"Hansfield, Ongar, Dublin 15",16,N/A,,0,,0,,0,,0,,0,Q1,2018
Ship Construction Turnkey,Fingal,"Hansfield, Ongar, Dublin 15",16,N/A,,0,,0,,0,,0,,0,Q2,2018
Ship Construction Turnkey,Fingal,"Ravenswood, North Road, Finglas",2,Peter McVerry Trust Ltd,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,Fingal,"Boroimhe, Swords",6,N/A,,0,,0,,0,,0,,0,Q3,2018
Ship Construction Turnkey,Fingal,"Cnoc Dubh, Ballyboughal",6,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,Fingal,"Kenure Gate, Park Road, Rush",4,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,Fingal,"Glaslinn, Donabate",3,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,Fingal,"Bremore Pastures Park, Balbriggan",4,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,Fingal,"Northwood Green, Santry, Dublin 9",37,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,Fingal,Hollytown Cottages,4,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Fingal,Cnoc Dubh Ballyboughal Co. Dublin,5,N/A,,0,,0,,0,,0,,0,Q3,2019
Ship Construction Turnkey,Fingal,"Rahillion, Donabate",1,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Rapid,Fingal,"Avondale, Mulhuddart, Dublin 15",42,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Rapid,Fingal,"Pinewood, Balbriggan",20,N/A,,0,,0,,0,,0,,0,Q2,2018
Ship Construction Rapid,Fingal,"Wellview, Mulhuddart",20,N/A,,0,,0,,0,,0,,0,Q4,2017
Ship Construction Rapid,Fingal,"Church Road, Mulhuddart, Dublin 15",22,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Rapid,Fingal,"Churchfields, Phase 2B, Mulhuddart, Dublin 15.",51,N/A,Q4,2019,,0,,0,,0,,0,,0
Ship Construction,Dublin City,"Ballybough Road, Dublin 1",2,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction,Dublin City,"Glin Court, Coolock, Dublin 17",25,N/A,Q3,2019,,0,,0,,0,,0,,0
Ship Construction,Dublin City,Kildonan Road,75,N/A,Q2,2020,,0,,0,,0,,0,,0
Ship Construction,Dublin City,Lands at Emmet Road,109,N/A,Q2,2020,,0,,0,,0,,0,,0
Public Private Partnership (Bundle 1),Dublin City,"Ayrfield, Malahide Road",150,N/A,,0,,0,,0,,0,Q1,2019,,0
Public Private Partnership (Bundle 1),Dublin City,Scribblestown,70,N/A,,0,,0,,0,,0,Q1,2019,,0
Ship Construction,Fingal,"Rivermeade, St. Margarets",2,N/A,,0,,0,,0,,0,,0,Q2,2019
Ship Construction,Fingal,Rowlestown,10,N/A,,0,,0,,0,,0,,0,Q2,2019
Ship Construction,Fingal,"Racecourse Commons, Lusk",5,N/A,,0,,0,,0,,0,,0,Q2,2018
Ship Construction,Fingal,"Castlelands, Park View, Balbriggan (Phase 3)",24,N/A,,0,,0,,0,,0,,0,Q1,2019
Ship Construction,Fingal,"Rathbeale Road, Swords",24,N/A,,0,,0,,0,,0,,0,Q2,2020
Ship Construction,Fingal,"The Grange, Ballyboughal",2,N/A,,0,,0,,0,,0,,0,Q3,2017
Ship Construction,Fingal,Cappaghfinn (Phase 1),14,N/A,,0,,0,,0,,0,,0,Q2,2016
Ship Construction,Fingal,"St. Cronan's Green, Swords",14,N/A,,0,,0,,0,,0,,0,Q2,2016
Ship Construction,Fingal,"St. Cronan's Cottages, Swords - Infill",1,N/A,,0,,0,,0,,0,,0,Q2,2016
Ship Construction,Fingal,"Racecourse Commons, Lusk",25,N/A,,0,,0,,0,,0,,0,Q4,2017
Ship Construction,Fingal,"The Grange, Ballyboughal",6,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction,Fingal,"Racecourse Commons, Lusk",15,N/A,,0,,0,,0,,0,,0,Q1,2018
Ship Construction,Fingal,"Redevelopment of Community Centre, Pinewood, Balbriggan",2,N/A,,0,,0,,0,,0,,0,Q3,2019
Ship Construction,Fingal,"Racecourse Commons, Lusk",4,N/A,,0,,0,,0,,0,,0,Q3,2018
Ship Construction,Fingal,"Racecourse Commons, Lusk",25,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction,Fingal,"Tucketts Lane, Howth, Co Dublin",8,N/A,,0,Q2,2019,,0,,0,,0,,0
Ship Construction,Fingal,Wellview Infill,20,N/A,,0,,0,Q4,2019,,0,,0,,0
Ship Construction,Fingal,Rowlestown,6,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction,Fingal,Rowlestown,6,N/A,,0,,0,,0,,0,,0,Q4,2019
Cas Construction,Fingal,Killhedge Lane Dun Emer,48,Túath Housing Association Ltd,Q1,2017,,0,,0,,0,,0,,0
Cas Construction,Fingal,"Ravenswood, North Road, Finglas",6,Peter McVerry Trust Ltd,,0,,0,,0,,0,,0,Q4,2018
Cas Construction,Fingal,"22 College Street, Baldoyle",4,Cluid Housing Association,,0,,0,,0,Q4,2019,,0,,0
Cas Construction,Fingal,"Darcystown, Ringfort, Balrothery",9,North And East Housing Association Ltd,,0,,0,,0,,0,,0,Q3,2017
Cas Construction,Fingal,"Estuary Road, Malahide",8,Society of Saint Vincent de Paul,,0,,0,,0,,0,,0,Q2,2018
Cas Construction,Fingal,"Garristown, Co. Dublin",5,North And East Housing Association Ltd,Q1,2020,,0,,0,,0,,0,,0
Calf Turnkey,Fingal,"4 units, Taylor Hill, Balbriggan, Co. Dublin (Phase 1)",4,Cluid Housing,,0,,0,,0,,0,,0,Q4,2018
Calf Turnkey,Fingal,"Allendale Square, Clonsilla, Dublin 15 (Phase 1)*",28,Respond,,0,,0,,0,,0,,0,Q2,2020
Calf Turnkey,Fingal,"An Muileann, Kettles Lane, Swords, Dublin (Phase 1)",24,Circle Voluntary Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,Fingal,"Barnwell Woods, Hansfield, Dublin 15 (Phase 1)*",12,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2018
Calf Turnkey,Fingal,"Barnwell Woods, Hansfield, Dublin 15 (Phase 2)*",12,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2018
Calf Turnkey,Fingal,"Belcamp Manor, Malahide Road, Balgriffin, Dublin 13 (Phase 1)",18,Túath Housing Association Ltd,,0,,0,,0,,0,Q4,2019,,0
Calf Turnkey,Fingal,"Belcamp Manor, Malahide Road, Balgriffin, Dublin 13 (Phase 2)",15,Túath Housing Association Ltd,,0,,0,,0,,0,Q4,2019,,0
Calf Turnkey,Fingal,"Belcamp Manor, Malahide Road, Balgriffin, Dublin 13 (Phase 3)",16,Túath Housing Association Ltd,,0,,0,,0,,0,Q4,2019,,0
Calf Turnkey,Fingal,"Carrs Lane, Malahide Road, Dublin 17 (Phase 1)*",59,Respond,,0,,0,,0,,0,Q4,2019,,0
Calf Turnkey,Fingal,Castlegrange Park (2) Clonsilla (Phase 1),5,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q2,2016
Calf Turnkey,Fingal,Castlegrange Park (2) Clonsilla (Phase 2),7,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q3,2016
Calf Turnkey,Fingal,Castlegrange Park (2) Clonsilla (Phase 3),7,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2016
Calf Turnkey,Fingal,Castlegrange Park (2) Clonsilla (Phase 4),21,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q1,2017
Calf Turnkey,Fingal,Castlegrange Park (2) Clonsilla (Phase 5),8,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q2,2017
Calf Turnkey,Fingal,"Charlestown Centre, Charlestown Place & St., Margarets Road, Dublin 11 (Phase 1)*",138,Respond,,0,,0,,0,,0,Q3,2019,,0
Calf Turnkey,Fingal,"Cois Sruthan, Ballyboughal, Co.Dublin (Phase 1)*",17,Oaklee Housing,,0,,0,,0,,0,Q4,2017,,0
Calf Turnkey,Fingal,"Drynam Heath, Feltrim Road, Swords, Co. Dublin (Phase 1)",11,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,Fingal,"Drynam Heath, Feltrim Road, Swords, Co. Dublin (Phase 2)*",6,Túath Housing Association Ltd,,0,,0,,0,,0,Q1,2019,,0
Calf Turnkey,Fingal,"Dun Si, St. Marnock Bay, Station Road, Portmarnock, Co. Dublin (Phase 1)*",10,Cluid Housing,,0,,0,,0,,0,,0,Q2,2020
Calf Turnkey,Fingal,"Dun Si, St. Marnock Bay, Station Road, Portmarnock, Co. Dublin (Phase 2)*",5,Cluid Housing,,0,,0,,0,,0,Q3,2018,,0
Calf Turnkey,Fingal,"Knightsgate, Rush, Co. Dublin (Phase 1)*",38,Cluid Housing,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,Fingal,"Knightsgate, Rush, Co. Dublin (phase 2) (Phase 1)",19,Cluid Housing,,0,,0,,0,,0,Q4,2018,,0
Calf Construction,Fingal,"Ladyswell Road & Church Road, Mulhuddart, Dublin 15  (Phase 1)",65,Cluid Housing,,0,,0,,0,,0,Q4,2018,,0
Calf Turnkey,Fingal,"Lanesborough Close, Finglas, Dublin 11 (Phase 1)*",21,Cluid Housing,,0,,0,,0,,0,,0,Q4,2018
Calf Turnkey,Fingal,"Martello Place, Balbriggan, Co Dublin  (Phase 1)",18,Respond,,0,,0,,0,,0,,0,Q3,2018
Calf Turnkey,Fingal,"Millers Glen, Oldtown, Swords, Co. Dublin (Phase 1)*",10,The Iveagh Trust,,0,,0,,0,,0,Q3,2018,,0
Calf Turnkey,Fingal,"Millers Glen, Oldtown, Swords, Co. Dublin (Phase 2)*",18,The Iveagh Trust,,0,,0,,0,,0,Q3,2018,,0
Calf Turnkey,Fingal,"Millers Glen, Phase 3, Oldtown, Swords (Phase 1)*",14,The Iveagh Trust,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,Fingal,"Northwood Green, Santry, Dublin 9 (Phase 1)*",6,Respond,,0,,0,,0,,0,,0,Q4,2018
Calf Turnkey,Fingal,"Northwood, Ballymun Cross, Santry, Dublin 9 (Phase 1)",48,Respond,,0,,0,,0,,0,,0,Q4,2019
Calf Turnkey,Fingal,"Northwood, Ballymun Cross, Santry, Dublin 9 (Phase 2)*",7,Respond,,0,,0,,0,,0,,0,Q2,2020
Calf Construction,Fingal,"Old Coolock Lane, Santry, Dublin 9 (Phase 1)",28,Circle Voluntary Housing Association Ltd,,0,,0,,0,Q1,2019,,0,,0
